1,Dakota,Johnson,Actress,Fifty Shades of Grey,90,9
2,Margot,Robbie,Actress,The Wolf of Wall Street,90,9
3,Eddie,Redmayne,Actor,The Theory of Everything,90,9
4,Jamie,Dornan,Actor,Fifty Shades of Grey,90,9
5,Emma,Stone,Actress,The Help,90,9
6,Shailene,Woodley,Actress,Divergent,90,9
7,Julianne,Moore,Actress,The Big Lebowski,90,9
8,Rosamund,Pike,Actress,Gone Girl,90,9
9,Miles,Teller,Actor,Whiplash,90,9
10,Jennifer,Lawrence,Actress,The Hunger Games,90,9
11,Patricia,Arquette,Actress,Boyhood,90,9
13,J.K.,Simmons,Actor,Whiplash,90,9
14,Leonard,Nimoy,Actor,Star Trek,90,9
15,Felicity,Jones,Actress,The Theory of Everything,90,9
17,Michael,Keaton,Actor,Birdman,90,9
18,Katheryn,Winnick,Actress,Love & Other Drugs,90,9
19,Scarlett,Johansson,Actress,Lost in Translation,90,9
20,Bella,Thorne,Actress,Blended,90,9
21,Mae,Whitman,Actress,Independence Day,90,9
22,Anna,Kendrick,Actress,Pitch Perfect,90,9
23,Melanie,Griffith,Actress,Working Girl,90,9
24,Kate,Mara,Actress,127 Hours,90,9
25,Taron,Egerton,Actor,Kingsman: The Secret Service,90,9
26,Benedict,Cumberbatch,Actor,The Imitation Game,90,9
27,Leonardo,DiCaprio,Actor,Inception,90,9
28,Jennifer Love,Hewitt,Actress,I Know What You Did Last Summer,90,9
29,Bradley,Cooper,Actor,Silver Linings Playbook,90,9
30,Emily,Blunt,Actress,Edge of Tomorrow,90,9
31,Natalie,Dormer,Actress,Rush,90,9
32,Chris,Pratt,Actor,Guardians of the Galaxy,90,9
33,Lily,James,Actress,Wrath of the Titans,90,9
34,Teresa,Palmer,Actress,Warm Bodies,90,9
35,Ben,Woolf,Actor,Pilot,90,9
36,Tom,Hardy,Actor,Inception,90,9
37,Hayley,Atwell,Actress,Captain America: The First Avenger,90,9
38,Dakota,Fanning,Actress,War of the Worlds,90,9
39,Emma,Watson,Actress,Harry Potter and the Deathly Hallows: Part 1,90,9
40,Travis,Fimmel,Actor,The Baytown Outlaws,90,9
41,Emilia,Clarke,Actress,The Rains of Castamere,90,9
42,Jessica,Chastain,Actress,Zero Dark Thirty,90,9
43,Robbie,Amell,Actor,The DUFF,90,9
44,Wes,Anderson,Director,The Grand Budapest Hotel,90,9
45,Will,Smith,Actor,Men in Black,90,9
46,Ellar,Coltrane,Actor,Boyhood,90,9
47,Sienna,Miller,Actress,Foxcatcher,90,9
48,Sophie,Turner,Actress,Blackwater,90,9
49,Jennifer,Aniston,Actress,The One Where Monica Gets a Roommate,90,9
50,Jared,Leto,Actor,Requiem for a Dream,90,9
52,Genesis,Rodriguez,Actress,Big Hero 6,90,9
53,Kristen,Stewart,Actress,Twilight,90,9
54,Charlie,Hunnam,Actor,Pacific Rim,90,9
55,Keira,Knightley,Actress,Pirates of the Caribbean: The Curse of the Black Pearl,90,9
56,Ansel,Elgort,Actor,The Fault in Our Stars,90,9
57,Marion,Cotillard,Actress,The Dark Knight Rises,90,9
58,Jason,Momoa,Actor,Conan the Barbarian,90,9
59,Matthew,McConaughey,Actor,Interstellar,90,9
60,Julie,Andrews,Actress,The Sound of Music,90,9
61,Channing,Tatum,Actor,21 Jump Street,90,9
62,Theo,James,Actor,Divergent,90,9
63,Zoe,Saldana,Actress,Avatar,90,9
64,Olivia,Wilde,Actress,Rush,90,9
65,Taylor,Kinney,Actor,The Other Woman,90,9
66,Edward,Norton,Actor,Fight Club,90,9
67,Mila,Kunis,Actress,Black Swan,90,9
68,Robin,Wright,Actress,The Princess Bride,90,9
69,Amber,Heard,Actress,Zombieland,90,9
70,Neil Patrick,Harris,Actor,Gone Girl,90,9
71,Melissa,Benoist,Actress,Whiplash,90,9
72,Reese,Witherspoon,Actress,Walk the Line,90,9
73,Naomi,Watts,Actress,King Kong,90,9
74,Monica,Bellucci,Actress,The Matrix Revolutions,90,9
75,Brad,Pitt,Actor,Inglourious Basterds,90,9
76,Johnny,Depp,Actor,Edward Scissorhands,90,9
77,Meryl,Streep,Actress,The Devil Wears Prada,90,9
78,Chris,Pine,Actor,Star Trek,90,9
79,Jeri,Ryan,Actress,Down with Love,90,9
80,Mary Elizabeth,Winstead,Actress,Final Destination 3,90,9
81,Elizabeth,Taylor,Actress,Giant,90,9
82,Liam,Neeson,Actor,Schindler's List,90,9
83,Chase,Masterson,Actress,General Hospital,90,9
84,Evan,Peters,Actor,Kick-Ass,90,9
85,Rashida,Jones,Actress,I Love You,90,9
86,Clint,Eastwood,Actor,Million Dollar Baby,90,9
87,Gemma,Arterton,Actress,Prince of Persia: The Sands of Time,90,9
88,Chris,Evans,Actor,The Avengers,90,9
89,Jason,Bateman,Actor,Horrible Bosses,90,9
90,Drew,Barrymore,Producer,Donnie Darko,90,9
91,Lorelei,Linklater,Actress,Boyhood,90,9
92,Morena,Baccarin,Actress,Pilot,90,9
93,Tom,Cruise,Actor,Top Gun,90,9
94,Kristen,Wiig,Actress,Bridesmaids,90,9
95,Dave,Franco,Actor,21 Jump Street,90,9
96,Jake,Gyllenhaal,Actor,Donnie Darko,90,9
97,Lily,Collins,Actress,The Mortal Instruments: City of Bones,90,9
98,Sofia,Boutella,Actress,Kingsman: The Secret Service,90,9
99,Lauren,Cohan,Actress,Death Race 2,90,9
100,Sean,Penn,Actor,Mystic River,89,9
101,Elizabeth,Banks,Actress,The Lego Movie,89,9
102,Aaron,Taylor-Johnson,Actor,Kick-Ass,89,9
103,Katie,Cassidy,Actress,Taken,89,9
104,Amy,Adams,Actress,Man of Steel,89,9
106,Ethan,Hawke,Actor,Gattaca,89,9
107,Eva,Green,Actress,Casino Royale,89,9
108,Kaley,Cuoco-Sweeting,Actress,Hop,89,9
109,Henry,Cavill,Actor,Man of Steel,89,9
110,Lizzy,Caplan,Actress,Cloverfield,89,9
111,Keanu,Reeves,Actor,The Matrix,89,9
112,Colin,Firth,Actor,The King's Speech,89,9
113,Naomi,Grossman,Actress,Burka Girls Gone Wild,89,9
114,Angelina,Jolie,Actress,Maleficent,89,9
115,Don,Johnson,Actor,Django Unchained,89,9
116,Ellen,Page,Actress,Inception,89,9
117,Bonnie,Somerville,Actress,The Ugly Truth,89,9
118,Ben,Affleck,Actor,Argo,89,9
119,SofÃ_a,Vergara,Actress,Chef,89,9
120,Cate,Blanchett,Actress,The Curious Case of Benjamin Button,89,9
121,Rachel,McAdams,Actress,Midnight in Paris,89,9
122,Natalie,Portman,Actress,V for Vendetta,89,9
123,Sam,Claflin,Actor,Snow White and the Huntsman,89,9
124,James,Spader,Actor,Stargate,89,9
125,Norman,Reedus,Actor,The Boondock Saints,89,9
126,Christian,Bale,Actor,The Dark Knight,89,9
127,Melissa,Rauch,Actress,I Love You,89,9
128,Bill,Murray,Actor,Groundhog Day,89,9
129,Kristen,Bell,Actress,Frozen,89,9
130,Ralph,Fiennes,Actor,Harry Potter and the Deathly Hallows: Part 2,89,9
131,Joel,Kinnaman,Actor,Pilot,89,9
133,Ariel,Winter,Actress,Kiss Kiss Bang Bang,89,9
134,Idina,Menzel,Actress,Frozen,89,9
135,Bridget,Regan,Actress,John Wick,89,9
136,Graham,Moore,Writer,The Imitation Game,89,9
138,Emily,Kinney,Actress,It's Complicated,89,9
139,Adrianne,Palicki,Actress,John Wick,89,9
140,Chris,Hemsworth,Actor,Thor,89,9
141,Josh,Hutcherson,Actor,The Hunger Games: Mockingjay - Part 1,89,9
142,Ashley,Greene,Actress,The Twilight Saga: Breaking Dawn - Part 2,89,9
143,Tuppence,Middleton,Actress,The Imitation Game,89,9
144,Stephen,Amell,Actor,The Climb,89,9
145,Ryan,Gosling,Actor,Drive,89,9
146,Katee,Sackhoff,Actress,Riddick,89,9
147,John,Travolta,Actor,Pulp Fiction,89,9
148,Isabelle,Fuhrman,Actress,Orphan,89,9
149,Vera,Farmiga,Actress,The Conjuring,89,9
150,Alexa,PenaVega,Actress,Spy Kids,89,9
151,Michael,Fassbender,Actor,Inglourious Basterds,89,9
152,Daniel,Henney,Actor,Big Hero 6,89,9
153,Aaron,Paul,Actor,Need for Speed,89,9
154,Robert Downey,Jr.,Actor,The Avengers,89,9
155,Dichen,Lachman,Actress,Aquamarine,89,9
157,Alexandra,Daddario,Actress,Percy Jackson & the Olympians: The Lightning Thief,89,9
158,Steve,Carell,Actor,Stress Relief,89,9
159,Jennifer,Lopez,Actress,Out of Sight,89,9
160,Danielle,Panabaker,Actress,Friday the 13th,89,9
161,Rooney,Mara,Actress,The Social Network,89,9
162,Dylan,O'Brien,Actor,The Maze Runner,89,9
163,Kate,Winslet,Actress,Titanic,89,9
164,Anne,Hathaway,Actress,Les Miserables,89,9
165,Andrea,Riseborough,Actress,Oblivion,89,9
166,Shia,LaBeouf,Actor,Transformers,89,9
167,Blake,Lively,Actress,Summer Kind of Wonderful,89,9
168,Kate,Beckinsale,Actress,Underworld,89,9
169,Linda,Cardellini,Actress,Grandma's Boy,89,9
170,Quentin,Tarantino,Writer,Pulp Fiction,89,9
171,Matt,Bomer,Actor,In Time,89,9
172,Logan,Lerman,Actor,The Perks of Being a Wallflower,89,9
173,MÃ©lanie,Laurent,Actress,Inglourious Basterds,89,9
174,Charlize,Theron,Actress,Prometheus,89,9
175,Saoirse,Ronan,Actress,Atonement,89,9
176,Scott,Eastwood,Actor,Gran Torino,89,9
177,Kevin,Spacey,Actor,American Beauty,89,9
178,Jamie,Chung,Actress,Big Hero 6,89,9
179,James,Franco,Actor,127 Hours,89,9
180,Gal,Gadot,Actress,Fast & Furious 6,89,9
181,Imogen,Poots,Actress,Need for Speed,89,9
182,Karen,Gillan,Actress,Guardians of the Galaxy,89,9
183,Jason,Statham,Actor,The Transporter,89,9
184,Denzel,Washington,Actor,American Gangster,89,9
185,Andrew,Lincoln,Actor,Love Actually,89,9
186,Lee,Pace,Actor,Guardians of the Galaxy,89,9
187,Matthew,Goode,Actor,Watchmen,89,9
188,Nina,Dobrev,Actress,The Perks of Being a Wallflower,89,9
189,Kerry,Washington,Actress,Django Unchained,89,9
190,Tom,Hiddleston,Actor,The Avengers,89,9
191,Nicole,Kidman,Actress,Moulin Rouge!,89,9
192,Maisie,Williams,Actress,The Rains of Castamere,89,9
193,Kelly,Macdonald,Actress,No Country for Old Men,89,9
194,Marie,Avgeropoulos,Actress,50/50,89,9
195,Emily Bett,Rickards,Actress,The Climb,89,9
196,Aubrey,Plaza,Actress,Safety Not Guaranteed,89,9
197,Alycia Debnam,Carey,Actress,Into the Storm,89,9
198,Abigail,Breslin,Actress,Little Miss Sunshine,89,9
199,Emmy,Rossum,Actress,Pilot,89,9
200,Rhea,Seehorn,Actress,Alpine Shepherd Boy,89,9
201,Juno,Temple,Actress,The Dark Knight Rises,89,9
202,Amelia,Warner,Actress,Quills,88,9
203,Idris,Elba,Actor,Pacific Rim,88,9
204,Richard,Linklater,Director,Before Sunset,88,9
205,Helena Bonham,Carter,Actress,Fight Club,88,9
206,Laura,Prepon,Actress,Karla,88,9
208,Viola,Davis,Actress,The Help,88,9
209,Willow,Shields,Actress,The Hunger Games,88,9
210,Christopher,Nolan,Writer,The Dark Knight,88,9
211,Nicolas,Cage,Actor,Leaving Las Vegas,88,9
212,Rose,Byrne,Actress,X-Men: First Class,88,9
213,Lili,Simmons,Actress,Geek Charming,88,9
214,Richard,Madden,Actor,The Rains of Castamere,88,9
215,Jai,Courtney,Actor,Divergent,88,9
216,Hugh,Jackman,Actor,The Prestige,88,9
217,Jennifer,Ehle,Actress,Zero Dark Thirty,88,9
218,Anna,Faris,Actress,Cloudy with a Chance of Meatballs,88,9
219,Megan,Fox,Actress,Transformers,88,9
220,Danai,Gurira,Actress,The Visitor,88,9
221,Ian,Somerhalder,Actor,Founder's Day,88,9
222,Jena,Malone,Actress,Contact,88,9
223,Eliza,Taylor,Actress,Blood Must Have Blood: Part 1,88,9
224,Abbie,Cornish,Actress,Limitless,88,9
225,Sylvester,Stallone,Actor,Rocky,88,9
226,Christina,Hendricks,Actress,Smoke Gets in Your Eyes,88,9
227,Elizabeth,PeÃ±a,Actress,The Incredibles,88,9
228,Sarah,Hyland,Actress,Another World,88,9
230,Zac,Efron,Actor,17 Again,88,9
231,Bob,Odenkirk,Actor,Nebraska,88,9
232,Ryan,Potter,Actor,Big Hero 6,88,9
233,Gillian,Anderson,Actress,The X Files,88,9
234,Emma,Roberts,Actress,We're the Millers,88,9
235,Tom,Hanks,Actor,The Da Vinci Code,88,9
236,Mark,Strong,Actor,Tinker Tailor Soldier Spy,88,9
237,Luke,Evans,Actor,Dracula Untold,88,9
238,Sophie,Hunter,Actress,Vanity Fair,88,9
239,Mark,Wahlberg,Actor,Boogie Nights,88,9
240,Chad Michael,Murray,Actor,House of Wax,88,9
241,Manu,Bennett,Actor,The Hobbit: An Unexpected Journey,88,9
243,Lyndsy,Fonseca,Actress,Kick-Ass,88,9
244,Michelle,Monaghan,Actress,Source Code,88,9
245,Gugu,Mbatha-Raw,Actress,Beyond the Lights,88,9
246,Dwayne,Johnson,Actor,Fast & Furious 6,88,9
247,Taraji P.,Henson,Actress,The Curious Case of Benjamin Button,88,9
248,Robin,Williams,Actor,Good Will Hunting,88,9
249,Alexis,Bledel,Actress,Sin City,88,9
250,Jennifer,Connelly,Actress,A Beautiful Mind,88,9
251,Analeigh,Tipton,Actress,Crazy,88,9
252,Taylor,Kitsch,Actor,John Carter,88,9
253,Bryan,Cranston,Actor,Ozymandias,88,9
255,Elle,Fanning,Actress,Maleficent,88,9
256,Alexander,Ludwig,Actor,The Hunger Games,88,9
257,Elizabeth,Olsen,Actress,Godzilla,88,9
258,Jussie,Smollett,Actor,North,88,9
259,Yvonne,Strahovski,Actress,I,88,9
260,Heath,Ledger,Actor,The Dark Knight,88,9
261,Mark,Hamill,Actor,Star Wars,88,9
262,Kat,Dennings,Actress,Thor,88,9
263,Adam,Sandler,Actor,Grown Ups 2,88,9
264,Hilarie,Burton,Actress,The Secret Life of Bees,88,9
265,Mark,Ruffalo,Actor,The Avengers,88,9
266,Alison,Brie,Actress,The Lego Movie,88,9
267,Sandra,Bullock,Actress,Gravity,88,9
268,Alicia,Vikander,Actress,A Royal Affair,88,9
269,Emily,Ratajkowski,Actress,Gone Girl,88,9
270,Maggie,Smith,Actress,The Prime of Miss Jean Brodie,88,9
271,Jada Pinkett,Smith,Actress,Collateral,88,9
272,Arnold,Schwarzenegger,Actor,The Terminator,88,9
