id,first_name,last_name,occupation,skill
1,Dakota,Johnson,Actress,Fifty Shades of Grey
2,Margot,Robbie,Actress,The Wolf of Wall Street
3,Eddie,Redmayne,Actor,The Theory of Everything
4,Jamie,Dornan,Actor,Fifty Shades of Grey
5,Emma,Stone,Actress,The Help
6,Shailene,Woodley,Actress,Divergent
7,Julianne,Moore,Actress,The Big Lebowski
8,Rosamund,Pike,Actress,Gone Girl
9,Miles,Teller,Actor,Whiplash
10,Jennifer,Lawrence,Actress,The Hunger Games
11,Patricia,Arquette,Actress,Boyhood
13,J.K.,Simmons,Actor,Whiplash
14,Leonard,Nimoy,Actor,Star Trek
15,Felicity,Jones,Actress,The Theory of Everything
17,Michael,Keaton,Actor,Birdman
18,Katheryn,Winnick,Actress,Love & Other Drugs
19,Scarlett,Johansson,Actress,Lost in Translation
20,Bella,Thorne,Actress,Blended
21,Mae,Whitman,Actress,Independence Day
22,Anna,Kendrick,Actress,Pitch Perfect
23,Melanie,Griffith,Actress,Working Girl
24,Kate,Mara,Actress,127 Hours
25,Taron,Egerton,Actor,Kingsman: The Secret Service
26,Benedict,Cumberbatch,Actor,The Imitation Game
27,Leonardo,DiCaprio,Actor,Inception
28,Jennifer Love,Hewitt,Actress,I Know What You Did Last Summer
29,Bradley,Cooper,Actor,Silver Linings Playbook
30,Emily,Blunt,Actress,Edge of Tomorrow
31,Natalie,Dormer,Actress,Rush
32,Chris,Pratt,Actor,Guardians of the Galaxy
33,Lily,James,Actress,Wrath of the Titans
34,Teresa,Palmer,Actress,Warm Bodies
35,Ben,Woolf,Actor,Pilot
36,Tom,Hardy,Actor,Inception
37,Hayley,Atwell,Actress,Captain America: The First Avenger
38,Dakota,Fanning,Actress,War of the Worlds
39,Emma,Watson,Actress,Harry Potter and the Deathly Hallows: Part 1
40,Travis,Fimmel,Actor,The Baytown Outlaws
41,Emilia,Clarke,Actress,The Rains of Castamere
42,Jessica,Chastain,Actress,Zero Dark Thirty
43,Robbie,Amell,Actor,The DUFF
44,Wes,Anderson,Director,The Grand Budapest Hotel
45,Will,Smith,Actor,Men in Black
46,Ellar,Coltrane,Actor,Boyhood
47,Sienna,Miller,Actress,Foxcatcher
48,Sophie,Turner,Actress,Blackwater
49,Jennifer,Aniston,Actress,The One Where Monica Gets a Roommate
50,Jared,Leto,Actor,Requiem for a Dream
51,Lady,Gaga,Self,A Very Gaga Thanksgiving
52,Genesis,Rodriguez,Actress,Big Hero 6
53,Kristen,Stewart,Actress,Twilight
54,Charlie,Hunnam,Actor,Pacific Rim
55,Keira,Knightley,Actress,Pirates of the Caribbean: The Curse of the Black Pearl
56,Ansel,Elgort,Actor,The Fault in Our Stars
57,Marion,Cotillard,Actress,The Dark Knight Rises
58,Jason,Momoa,Actor,Conan the Barbarian
59,Matthew,McConaughey,Actor,Interstellar
60,Julie,Andrews,Actress,The Sound of Music
61,Channing,Tatum,Actor,21 Jump Street
62,Theo,James,Actor,Divergent
63,Zoe,Saldana,Actress,Avatar
